TyreLife,compound_encoded,lap_time_delta,deg_rate,GapToAhead,GapToBehind,laps_remaining,fuel_adjusted_laptime,pit_window_open,safety_car_active,TrackTemp,Position,pit_decision
1.0,0,21.229,9.65749999999999,12.451,1.237,37.0,110.087,0,1,33.1,2,1
1.0,1,0.0,0.0,0.47,0.371,57.0,98.483,0,1,34.8,14,0
2.0,1,0.0,0.0,0.885,0.742,56.0,90.833,0,0,34.9,13,0
3.0,1,0.0,-4.189000000000006,0.96,1.123,55.0,90.16499999999999,0,0,34.4,13,0
4.0,1,0.597999999999999,-0.05000000000000153,1.546,2.29,54.0,90.79299999999999,0,0,34.3,13,0
5.0,1,0.45000000000000284,0.22499999999998577,1.825,2.481,53.0,90.675,0,0,34.0,13,0
6.0,1,0.046999999999997044,-0.27550000000000513,1.752,2.873,52.0,90.30199999999999,0,0,34.0,13,0
7.0,1,0.2400000000000091,-0.1049999999999893,1.92,2.755,51.0,90.525,0,0,34.5,13,0
8.0,1,0.4900000000000091,0.22149999999999403,1.911,2.534,50.0,90.805,0,0,34.0,13,0
9.0,1,0.5520000000000067,0.15599999999999398,1.747,2.489,49.0,90.897,0,0,34.0,13,0
10.0,1,0.6210000000000093,0.06549999999999916,1.595,2.367,48.0,90.99600000000001,0,0,34.0,13,0
11.0,1,0.7489999999999952,0.09849999999998985,1.489,2.488,47.0,91.154,0,0,33.9,13,0
12.0,1,0.953000000000003,0.16599999999999043,1.411,2.267,46.0,91.388,0,0,33.9,13,0
13.0,1,1.1090000000000089,0.1799999999999984,2.322,1.117,45.0,91.57400000000001,0,0,33.7,12,0
14.0,1,0.9369999999999976,-0.00799999999999479,0.358,2.755,44.0,91.432,0,0,33.9,12,0
15.0,1,0.9060000000000059,-0.10149999999999695,4.461,4.918,43.0,91.431,0,0,33.5,10,0
16.0,1,1.168999999999997,0.11600000000000242,3.657,4.201,42.0,91.72399999999999,1,0,33.6,8,0
17.0,1,1.3760000000000048,0.2349999999999925,4.409,0.874,41.0,91.961,1,0,33.4,8,0
18.0,1,1.7250000000000085,0.2780000000000034,2.091,6.158,40.0,92.34,1,0,33.3,9,0
19.0,1,3.4180000000000064,1.0210000000000063,5.7,0.013,39.0,94.063,1,0,33.3,8,1
1.0,0,20.372,9.323500000000003,2.376,0.918,38.0,111.047,0,1,33.2,18,1
2.0,0,0.0,-2.051500000000011,1.817,1.231,37.0,90.02,0,0,33.1,18,0
3.0,0,0.0,-10.541000000000004,1.1,1.354,36.0,90.025,0,0,33.0,18,0
4.0,0,0.0,-0.058499999999990525,1.719,0.734,35.0,89.96300000000001,0,0,32.9,17,0
5.0,0,1.4539999999999935,0.6809999999999868,0.473,0.433,34.0,91.447,0,0,32.9,17,0
6.0,0,0.6909999999999883,0.3454999999999868,2.196,0.967,33.0,90.714,0,0,33.3,16,0
7.0,0,0.38299999999999557,-0.5354999999999986,1.048,1.354,32.0,90.436,0,0,32.9,15,0
8.0,0,0.0,-0.370500000000009,1.49,1.195,31.0,90.03299999999999,0,0,32.9,14,0
9.0,0,0.3580000000000041,-0.03750000000000742,1.234,2.115,30.0,90.42099999999999,0,0,32.8,13,0
10.0,0,0.26500000000000057,0.13249999999999673,0.872,2.649,29.0,90.35799999999999,0,0,32.9,13,0
11.0,0,0.0,-0.23450000000000926,1.928,0.605,28.0,90.012,0,0,32.8,12,0
12.0,0,0.6589999999999918,0.1415000000000066,1.852,0.737,27.0,90.701,0,0,32.9,12,0
13.0,0,0.3019999999999925,0.15099999999999436,1.51,0.799,26.0,90.374,0,0,32.9,12,0
14.0,0,0.30400000000000205,-0.1775000000000036,1.116,0.992,25.0,90.406,0,0,32.9,12,0
15.0,0,0.29999999999999716,-0.0010000000000012557,0.759,1.527,24.0,90.432,0,0,32.8,12,0
16.0,0,0.7909999999999968,0.2434999999999917,6.571,1.631,23.0,90.953,0,0,32.7,11,0
